Expression	Value	Location	Type	
AD_Value	<array>	0x20000408	double[100]	
ch1	<array>	0x20000014	uint16_t[500]	
[154]	0	0x20000148	uint16_t	
[155]	0	0x2000014A	uint16_t	
[156]	0	0x2000014C	uint16_t	
[157]	0	0x2000014E	uint16_t	
[158]	0	0x20000150	uint16_t	
[159]	0	0x20000152	uint16_t	
[160]	0	0x20000154	uint16_t	
[161]	0	0x20000156	uint16_t	
[162]	0	0x20000158	uint16_t	
[163]	0	0x2000015A	uint16_t	
[164]	0	0x2000015C	uint16_t	
[165]	0	0x2000015E	uint16_t	
[166]	0	0x20000160	uint16_t	
[167]	0	0x20000162	uint16_t	
[168]	0	0x20000164	uint16_t	
[169]	0	0x20000166	uint16_t	
[170]	0	0x20000168	uint16_t	
[171]	0	0x2000016A	uint16_t	
[172]	0	0x2000016C	uint16_t	
[173]	0	0x2000016E	uint16_t	
[174]	0	0x20000170	uint16_t	
[175]	0	0x20000172	uint16_t	
[176]	0	0x20000174	uint16_t	
[177]	0	0x20000176	uint16_t	
[178]	0	0x20000178	uint16_t	
[179]	0	0x2000017A	uint16_t	
[180]	0	0x2000017C	uint16_t	
[181]	0	0x2000017E	uint16_t	
[182]	0	0x20000180	uint16_t	
[183]	0	0x20000182	uint16_t	
[184]	0	0x20000184	uint16_t	
[185]	0	0x20000186	uint16_t	
[186]	0	0x20000188	uint16_t	
[187]	0	0x2000018A	uint16_t	
[188]	0	0x2000018C	uint16_t	
[189]	0	0x2000018E	uint16_t	
[190]	0	0x20000190	uint16_t	
[191]	0	0x20000192	uint16_t	
[192]	0	0x20000194	uint16_t	
[193]	0	0x20000196	uint16_t	
[194]	0	0x20000198	uint16_t	
[195]	0	0x2000019A	uint16_t	
[196]	0	0x2000019C	uint16_t	
[197]	0	0x2000019E	uint16_t	
[198]	0	0x200001A0	uint16_t	
[199]	0	0x200001A2	uint16_t	
[200]	0	0x200001A4	uint16_t	
[201]	0	0x200001A6	uint16_t	
[202]	0	0x200001A8	uint16_t	
[203]	0	0x200001AA	uint16_t	
[204]	0	0x200001AC	uint16_t	
[205]	0	0x200001AE	uint16_t	
[206]	0	0x200001B0	uint16_t	
[207]	0	0x200001B2	uint16_t	
[208]	0	0x200001B4	uint16_t	
[209]	0	0x200001B6	uint16_t	
[210]	0	0x200001B8	uint16_t	
[211]	0	0x200001BA	uint16_t	
[212]	0	0x200001BC	uint16_t	
[213]	0	0x200001BE	uint16_t	
[214]	0	0x200001C0	uint16_t	
[215]	0	0x200001C2	uint16_t	
[216]	0	0x200001C4	uint16_t	
[217]	0	0x200001C6	uint16_t	
[218]	0	0x200001C8	uint16_t	
[219]	0	0x200001CA	uint16_t	
[220]	0	0x200001CC	uint16_t	
[221]	0	0x200001CE	uint16_t	
[222]	0	0x200001D0	uint16_t	
[223]	0	0x200001D2	uint16_t	
[224]	0	0x200001D4	uint16_t	
[225]	0	0x200001D6	uint16_t	
[226]	0	0x200001D8	uint16_t	
[227]	0	0x200001DA	uint16_t	
[228]	0	0x200001DC	uint16_t	
[229]	0	0x200001DE	uint16_t	
[230]	0	0x200001E0	uint16_t	
[231]	0	0x200001E2	uint16_t	
[232]	0	0x200001E4	uint16_t	
[233]	0	0x200001E6	uint16_t	
[234]	0	0x200001E8	uint16_t	
[235]	0	0x200001EA	uint16_t	
[236]	0	0x200001EC	uint16_t	
[237]	0	0x200001EE	uint16_t	
[238]	0	0x200001F0	uint16_t	
[239]	0	0x200001F2	uint16_t	
[240]	0	0x200001F4	uint16_t	
[241]	0	0x200001F6	uint16_t	
[242]	0	0x200001F8	uint16_t	
[243]	0	0x200001FA	uint16_t	
[244]	0	0x200001FC	uint16_t	
[245]	0	0x200001FE	uint16_t	
[246]	0	0x20000200	uint16_t	
[247]	0	0x20000202	uint16_t	
[248]	0	0x20000204	uint16_t	
[249]	0	0x20000206	uint16_t	
[250]	0	0x20000208	uint16_t	
[251]	0	0x2000020A	uint16_t	
[252]	0	0x2000020C	uint16_t	
[253]	0	0x2000020E	uint16_t	
[254]	0	0x20000210	uint16_t	
[255]	0	0x20000212	uint16_t	
[256]	0	0x20000214	uint16_t	
[257]	0	0x20000216	uint16_t	
[258]	0	0x20000218	uint16_t	
[259]	0	0x2000021A	uint16_t	
[260]	0	0x2000021C	uint16_t	
[261]	0	0x2000021E	uint16_t	
[262]	0	0x20000220	uint16_t	
[263]	0	0x20000222	uint16_t	
[264]	0	0x20000224	uint16_t	
[265]	0	0x20000226	uint16_t	
[266]	0	0x20000228	uint16_t	
[267]	0	0x2000022A	uint16_t	
[268]	0	0x2000022C	uint16_t	
[269]	0	0x2000022E	uint16_t	
[270]	0	0x20000230	uint16_t	
[271]	0	0x20000232	uint16_t	
[272]	0	0x20000234	uint16_t	
[273]	0	0x20000236	uint16_t	
[274]	0	0x20000238	uint16_t	
[275]	0	0x2000023A	uint16_t	
[276]	0	0x2000023C	uint16_t	
[277]	0	0x2000023E	uint16_t	
[278]	0	0x20000240	uint16_t	
[279]	0	0x20000242	uint16_t	
[280]	0	0x20000244	uint16_t	
[281]	0	0x20000246	uint16_t	
[282]	0	0x20000248	uint16_t	
[283]	0	0x2000024A	uint16_t	
[284]	0	0x2000024C	uint16_t	
[285]	0	0x2000024E	uint16_t	
[286]	0	0x20000250	uint16_t	
[287]	0	0x20000252	uint16_t	
[288]	0	0x20000254	uint16_t	
[289]	0	0x20000256	uint16_t	
[290]	0	0x20000258	uint16_t	
[291]	0	0x2000025A	uint16_t	
[292]	0	0x2000025C	uint16_t	
[293]	0	0x2000025E	uint16_t	
[294]	0	0x20000260	uint16_t	
[295]	0	0x20000262	uint16_t	
[296]	0	0x20000264	uint16_t	
[297]	0	0x20000266	uint16_t	
[298]	0	0x20000268	uint16_t	
[299]	0	0x2000026A	uint16_t	
[300]	0	0x2000026C	uint16_t	
[301]	0	0x2000026E	uint16_t	
[302]	0	0x20000270	uint16_t	
[303]	0	0x20000272	uint16_t	
[304]	0	0x20000274	uint16_t	
[305]	0	0x20000276	uint16_t	
[306]	0	0x20000278	uint16_t	
[307]	0	0x2000027A	uint16_t	
[308]	0	0x2000027C	uint16_t	
[309]	0	0x2000027E	uint16_t	
[310]	0	0x20000280	uint16_t	
[311]	0	0x20000282	uint16_t	
[312]	0	0x20000284	uint16_t	
[313]	0	0x20000286	uint16_t	
[314]	0	0x20000288	uint16_t	
[315]	0	0x2000028A	uint16_t	
[316]	0	0x2000028C	uint16_t	
[317]	0	0x2000028E	uint16_t	
[318]	0	0x20000290	uint16_t	
[319]	0	0x20000292	uint16_t	
[320]	0	0x20000294	uint16_t	
[321]	0	0x20000296	uint16_t	
[322]	0	0x20000298	uint16_t	
[323]	0	0x2000029A	uint16_t	
[324]	0	0x2000029C	uint16_t	
[325]	0	0x2000029E	uint16_t	
[326]	0	0x200002A0	uint16_t	
[327]	0	0x200002A2	uint16_t	
[328]	0	0x200002A4	uint16_t	
[329]	0	0x200002A6	uint16_t	
[330]	0	0x200002A8	uint16_t	
[331]	0	0x200002AA	uint16_t	
[332]	0	0x200002AC	uint16_t	
[333]	0	0x200002AE	uint16_t	
[334]	0	0x200002B0	uint16_t	
[335]	0	0x200002B2	uint16_t	
[336]	0	0x200002B4	uint16_t	
[337]	0	0x200002B6	uint16_t	
[338]	0	0x200002B8	uint16_t	
[339]	0	0x200002BA	uint16_t	
[340]	0	0x200002BC	uint16_t	
[341]	0	0x200002BE	uint16_t	
[342]	0	0x200002C0	uint16_t	
[343]	0	0x200002C2	uint16_t	
[344]	0	0x200002C4	uint16_t	
[345]	0	0x200002C6	uint16_t	
[346]	0	0x200002C8	uint16_t	
[347]	0	0x200002CA	uint16_t	
[348]	0	0x200002CC	uint16_t	
[349]	0	0x200002CE	uint16_t	
[350]	0	0x200002D0	uint16_t	
[351]	0	0x200002D2	uint16_t	
[352]	0	0x200002D4	uint16_t	
[353]	0	0x200002D6	uint16_t	
[354]	0	0x200002D8	uint16_t	
[355]	0	0x200002DA	uint16_t	
[356]	0	0x200002DC	uint16_t	
[357]	0	0x200002DE	uint16_t	
[358]	0	0x200002E0	uint16_t	
[359]	0	0x200002E2	uint16_t	
[360]	0	0x200002E4	uint16_t	
[361]	0	0x200002E6	uint16_t	
[362]	0	0x200002E8	uint16_t	
[363]	0	0x200002EA	uint16_t	
[364]	0	0x200002EC	uint16_t	
[365]	0	0x200002EE	uint16_t	
[366]	0	0x200002F0	uint16_t	
[367]	0	0x200002F2	uint16_t	
[368]	0	0x200002F4	uint16_t	
[369]	0	0x200002F6	uint16_t	
[370]	0	0x200002F8	uint16_t	
[371]	0	0x200002FA	uint16_t	
[372]	0	0x200002FC	uint16_t	
[373]	0	0x200002FE	uint16_t	
[374]	0	0x20000300	uint16_t	
[375]	0	0x20000302	uint16_t	
[376]	0	0x20000304	uint16_t	
[377]	0	0x20000306	uint16_t	
[378]	0	0x20000308	uint16_t	
[379]	0	0x2000030A	uint16_t	
[380]	0	0x2000030C	uint16_t	
[381]	0	0x2000030E	uint16_t	
[382]	0	0x20000310	uint16_t	
[383]	0	0x20000312	uint16_t	
[384]	0	0x20000314	uint16_t	
[385]	0	0x20000316	uint16_t	
[386]	0	0x20000318	uint16_t	
[387]	0	0x2000031A	uint16_t	
[388]	0	0x2000031C	uint16_t	
[389]	0	0x2000031E	uint16_t	
[390]	0	0x20000320	uint16_t	
[391]	0	0x20000322	uint16_t	
[392]	0	0x20000324	uint16_t	
[393]	0	0x20000326	uint16_t	
[394]	0	0x20000328	uint16_t	
[395]	0	0x2000032A	uint16_t	
[396]	0	0x2000032C	uint16_t	
[397]	0	0x2000032E	uint16_t	
[398]	0	0x20000330	uint16_t	
[399]	0	0x20000332	uint16_t	
[400]	0	0x20000334	uint16_t	
[401]	0	0x20000336	uint16_t	
[402]	0	0x20000338	uint16_t	
[403]	0	0x2000033A	uint16_t	
[404]	0	0x2000033C	uint16_t	
[405]	0	0x2000033E	uint16_t	
[406]	0	0x20000340	uint16_t	
[407]	0	0x20000342	uint16_t	
[408]	0	0x20000344	uint16_t	
[409]	0	0x20000346	uint16_t	
[410]	0	0x20000348	uint16_t	
[411]	0	0x2000034A	uint16_t	
[412]	0	0x2000034C	uint16_t	
[413]	0	0x2000034E	uint16_t	
[414]	0	0x20000350	uint16_t	
[415]	0	0x20000352	uint16_t	
[416]	0	0x20000354	uint16_t	
[417]	0	0x20000356	uint16_t	
[418]	0	0x20000358	uint16_t	
[419]	0	0x2000035A	uint16_t	
[420]	0	0x2000035C	uint16_t	
[421]	0	0x2000035E	uint16_t	
[422]	0	0x20000360	uint16_t	
[423]	0	0x20000362	uint16_t	
[424]	0	0x20000364	uint16_t	
[425]	0	0x20000366	uint16_t	
[426]	0	0x20000368	uint16_t	
[427]	0	0x2000036A	uint16_t	
[428]	0	0x2000036C	uint16_t	
[429]	0	0x2000036E	uint16_t	
[430]	0	0x20000370	uint16_t	
[431]	0	0x20000372	uint16_t	
[432]	0	0x20000374	uint16_t	
[433]	0	0x20000376	uint16_t	
[434]	0	0x20000378	uint16_t	
[435]	0	0x2000037A	uint16_t	
[436]	0	0x2000037C	uint16_t	
[437]	0	0x2000037E	uint16_t	
[438]	0	0x20000380	uint16_t	
[439]	0	0x20000382	uint16_t	
[440]	0	0x20000384	uint16_t	
[441]	0	0x20000386	uint16_t	
[442]	0	0x20000388	uint16_t	
[443]	0	0x2000038A	uint16_t	
[444]	0	0x2000038C	uint16_t	
[445]	0	0x2000038E	uint16_t	
[446]	0	0x20000390	uint16_t	
[447]	0	0x20000392	uint16_t	
[448]	0	0x20000394	uint16_t	
[449]	0	0x20000396	uint16_t	
[450]	0	0x20000398	uint16_t	
[451]	0	0x2000039A	uint16_t	
[452]	0	0x2000039C	uint16_t	
[453]	0	0x2000039E	uint16_t	
[454]	0	0x200003A0	uint16_t	
[455]	0	0x200003A2	uint16_t	
[456]	0	0x200003A4	uint16_t	
[457]	0	0x200003A6	uint16_t	
[458]	0	0x200003A8	uint16_t	
[459]	0	0x200003AA	uint16_t	
[460]	0	0x200003AC	uint16_t	
[461]	0	0x200003AE	uint16_t	
[462]	0	0x200003B0	uint16_t	
[463]	0	0x200003B2	uint16_t	
[464]	0	0x200003B4	uint16_t	
[465]	0	0x200003B6	uint16_t	
[466]	0	0x200003B8	uint16_t	
[467]	0	0x200003BA	uint16_t	
[468]	0	0x200003BC	uint16_t	
[469]	0	0x200003BE	uint16_t	
[470]	0	0x200003C0	uint16_t	
[471]	0	0x200003C2	uint16_t	
[472]	0	0x200003C4	uint16_t	
[473]	0	0x200003C6	uint16_t	
[474]	0	0x200003C8	uint16_t	
[475]	0	0x200003CA	uint16_t	
[476]	0	0x200003CC	uint16_t	
[477]	0	0x200003CE	uint16_t	
[478]	0	0x200003D0	uint16_t	
[479]	0	0x200003D2	uint16_t	
[480]	0	0x200003D4	uint16_t	
[481]	0	0x200003D6	uint16_t	
[482]	0	0x200003D8	uint16_t	
[483]	0	0x200003DA	uint16_t	
[484]	0	0x200003DC	uint16_t	
[485]	0	0x200003DE	uint16_t	
[486]	0	0x200003E0	uint16_t	
[487]	0	0x200003E2	uint16_t	
[488]	0	0x200003E4	uint16_t	
[489]	0	0x200003E6	uint16_t	
[490]	0	0x200003E8	uint16_t	
[491]	0	0x200003EA	uint16_t	
[492]	0	0x200003EC	uint16_t	
[493]	0	0x200003EE	uint16_t	
[494]	0	0x200003F0	uint16_t	
[495]	0	0x200003F2	uint16_t	
[496]	0	0x200003F4	uint16_t	
[497]	0	0x200003F6	uint16_t	
[498]	0	0x200003F8	uint16_t	
[499]	0	0x200003FA	uint16_t	
ch2	Error (col 1): Unknown or ambiguous symbol. ch2			
ch2_index	Error (col 1): Unknown or ambiguous symbol. ch2_index			
ch1_index	112	0x20000010	uint16_t	
